feature,scores
pbrm1_mut,0.05689672928324985
pde4dip_mut,0.057466309031523874
pik3ca_mut,0.08480279263985958
pik3r1_mut,0.17434935805199162
ppp2cb_mut,0.03188494160331074
ppp2r2a_mut,0.027018429544495355
pr_status,0.05233989947476157
primary_tumor_laterality,0.07555069238473841
prkacg_mut,0.008876672528979364
prkce_mut,0.010753495091711826
prkcq_mut,0.07057722398589646
prkcz_mut,0.01940832668845682
prkg1_mut,0.03043362477419107
prps2_mut,0.035486169713427995
prr16_mut,0.009647223579662745
pten_mut,0.014138272771151244
ptpn22_mut,0.01028232701797498
ptprd_mut,0.01860924558362092
ptprm_mut,0.10566393566918049
radio_therapy,0.08705384986552395
rasgef1b_mut,0.012346008862030189
rb1_mut,0.09867900463930875
ros1_mut,0.04333403185213104
rpgr_mut,0.016147916818414376
runx1_mut,0.022718642606373338
ryr2_mut,0.018609975247614628
sbno1_mut,0.006268628274683586
setd1a_mut,0.004645281895232515
setd2_mut,0.02213244844046144
setdb1_mut,0.03816935505746459
sf3b1_mut,0.0603831272717836
sgcd_mut,0.02483996105808495
shank2_mut,0.040339044724816926
siah1_mut,0.0015876986885499506
sik1_mut,0.03450717144308489
sik2_mut,0.008352939866203819
smad2_mut,0.012717790218902496
smad4_mut,0.09765429006876376
smarcb1_mut,0.03780029778126111
smarcc1_mut,0.009297142339172247
smarcc2_mut,0.08999753338209061
smarcd1_mut,0.025264965293957498
spaca1_mut,0.010432293040057057
stab2_mut,0.005539609621983322
stk11_mut,0.015951338795523257
stmn2_mut,0.0
syne1_mut,0.05119276600785304
taf1_mut,0.13123184592305928
taf4b_mut,0.015675289267750345
tbl1xr1_mut,0.0682027356793415
tbx3_mut,0.005268397607144488
tg_mut,0.009055617826247446
thada_mut,0.0055185212881238635
thsd7a_mut,0.029562943940553723
tp53_mut,0.14750893000790735
ttyh1_mut,0.051067422190209225
tumor_other_histologic_subtype,0.1449349697860338
tumor_size,0.006927606809263059
tumor_stage,0.03622756235032005
type_of_breast_surgery,0.09861589663253098
ubr5_mut,0.19501354071408014
ush2a_mut,0.011923254221848534
usp28_mut,0.036762966312493546
usp9x_mut,0.06497346329274187
utrn_mut,0.022326428813281333
zfp36l1_mut,0.029274668100731968
