feature,scores
runx1_mut,0.03165666189621028
ryr2_mut,0.09709424397837806
sbno1_mut,0.00928901207980831
setd1a_mut,0.030080630094731626
setd2_mut,0.05128170604205189
setdb1_mut,0.10236671102526292
sf3b1_mut,0.10633140868711304
sgcd_mut,0.025339054726333972
shank2_mut,0.02307643366368392
siah1_mut,0.022136585799591935
sik1_mut,0.04376166195540336
sik2_mut,0.011415113175707413
smad2_mut,0.013307353557282589
smad4_mut,0.024610164026046866
smarcb1_mut,0.02057538203913218
smarcc1_mut,0.03249565565395982
smarcc2_mut,0.032639907497951356
smarcd1_mut,0.04022889182128413
spaca1_mut,0.02661407062564008
stab2_mut,0.027573457406176952
stk11_mut,0.0674449419513581
stmn2_mut,0.03139214708044623
syne1_mut,0.008672534989263507
taf1_mut,0.030640109404827094
taf4b_mut,0.03552948200473771
tbl1xr1_mut,0.020787680907132008
tbx3_mut,0.08685374164443985
tg_mut,0.04026493965017635
thada_mut,0.03714878561462348
thsd7a_mut,0.10498116382860151
tp53_mut,0.05127253643681357
ttyh1_mut,0.06017931796119035
tumor_other_histologic_subtype,0.3477037729633856
tumor_size,0.015182939372544101
tumor_stage,0.046603290424177636
type_of_breast_surgery,0.10865509907605492
ubr5_mut,0.08526342218632944
ush2a_mut,0.08208207465789413
usp28_mut,0.060733529040148705
usp9x_mut,0.03789404473911029
utrn_mut,0.009761326846253684
zfp36l1_mut,0.18357976861369668
